"driver_race","stop_date","stop_purpose","daily_num_stops","month","day","day_index","day_of_week","fri_sat","post_policy","dangerous_days","race","day_counter","dangerous_days2","date2","stop_purpose2"
"Black","2005-03-15","Radar Triggered",142,"3",15,74,"Tuesday","Another day",0,"Other day","Black",73,NA,2005-03-15,"Radar Triggered"
"Black","2005-03-15","Violation Observed",225,"3",15,74,"Tuesday","Another day",0,"Other day","Black",73,NA,2005-03-15,"Violation Observed"
"Black","2005-03-16","Radar Triggered",33,"3",16,75,"Wednesday","Another day",0,"Other day","Black",74,NA,2005-03-16,"Radar Triggered"
"Black","2005-03-16","Violation Observed",122,"3",16,75,"Wednesday","Another day",0,"Other day","Black",74,NA,2005-03-16,"Violation Observed"
"Black","2005-03-17","Radar Triggered",102,"3",17,76,"Thursday","Another day",0,"Other day","Black",75,NA,2005-03-17,"Radar Triggered"
"Black","2005-03-17","Violation Observed",161,"3",17,76,"Thursday","Another day",0,"Other day","Black",75,NA,2005-03-17,"Violation Observed"
"Black","2005-03-18","Radar Triggered",203,"3",18,77,"Friday","Friday or Saturday",0,"Day after St. Patrick's","Black",76,"Day after St. Patrick's",2005-03-18,"Radar Triggered"
"Black","2005-03-18","Violation Observed",307,"3",18,77,"Friday","Friday or Saturday",0,"Day after St. Patrick's","Black",76,"Day after St. Patrick's",2005-03-18,"Violation Observed"
"Black","2005-03-19","Radar Triggered",218,"3",19,78,"Saturday","Friday or Saturday",0,"Other day","Black",77,NA,2005-03-19,"Radar Triggered"
"Black","2005-03-19","Violation Observed",359,"3",19,78,"Saturday","Friday or Saturday",0,"Other day","Black",77,NA,2005-03-19,"Violation Observed"
"Black","2005-03-20","Radar Triggered",137,"3",20,79,"Sunday","Another day",0,"Other day","Black",78,NA,2005-03-20,"Radar Triggered"
"Black","2005-03-20","Violation Observed",219,"3",20,79,"Sunday","Another day",0,"Other day","Black",78,NA,2005-03-20,"Violation Observed"
"Black","2005-03-21","Radar Triggered",183,"3",21,80,"Monday","Another day",0,"Other day","Black",79,NA,2005-03-21,"Radar Triggered"
"Black","2005-03-21","Violation Observed",245,"3",21,80,"Monday","Another day",0,"Other day","Black",79,NA,2005-03-21,"Violation Observed"
"Black","2005-03-22","Radar Triggered",72,"3",22,81,"Tuesday","Another day",0,"Other day","Black",80,NA,2005-03-22,"Radar Triggered"
"Black","2005-03-22","Violation Observed",124,"3",22,81,"Tuesday","Another day",0,"Other day","Black",80,NA,2005-03-22,"Violation Observed"
"Black","2005-03-23","Radar Triggered",121,"3",23,82,"Wednesday","Another day",0,"Other day","Black",81,NA,2005-03-23,"Radar Triggered"
"Black","2005-03-23","Violation Observed",227,"3",23,82,"Wednesday","Another day",0,"Other day","Black",81,NA,2005-03-23,"Violation Observed"
"Black","2005-03-24","Radar Triggered",108,"3",24,83,"Thursday","Another day",0,"Other day","Black",82,NA,2005-03-24,"Radar Triggered"
"Black","2005-03-24","Violation Observed",188,"3",24,83,"Thursday","Another day",0,"Other day","Black",82,NA,2005-03-24,"Violation Observed"
"Black","2005-03-25","Radar Triggered",197,"3",25,84,"Friday","Friday or Saturday",0,"Other day","Black",83,NA,2005-03-25,"Radar Triggered"
"Black","2005-03-25","Violation Observed",311,"3",25,84,"Friday","Friday or Saturday",0,"Other day","Black",83,NA,2005-03-25,"Violation Observed"
